2016-03-13 10:47:51+0300 [-] Log opened.
2016-03-13 11:05:53+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:06:03+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:06:13+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:06:23+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:06:33+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:06:43+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:06:54+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:07:04+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:07:14+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:07:24+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:07:34+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:07:44+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:07:54+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:08:04+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:08:14+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:08:24+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:08:34+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:08:44+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:08:54+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:09:04+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:09:14+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:09:24+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:09:34+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:09:44+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:09:54+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:10:04+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:10:14+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:10:24+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:10:34+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:10:44+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:10:54+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:11:04+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:11:14+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:11:24+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:11:34+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:11:44+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:11:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:12:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:12:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:12:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:12:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:12:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:12:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:13:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:13:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:13:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:13:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:13:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:13:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:14:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:14:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:14:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:14:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:14:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:14:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:15:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:15:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:15:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:15:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:15:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:15:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:16:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:16:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:16:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:16:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:16:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:16:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:17:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:17:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:17:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:17:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:17:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:17:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:18:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:18:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:18:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:18:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:18:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:18:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:19:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:19:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:19:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:19:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:19:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:19:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:20:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:20:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:20:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:20:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:20:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:20:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:21:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:21:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:21:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:21:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:21:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:21:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:22:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:22:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:22:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:22:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:22:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:22:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:23:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:23:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:23:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:23:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:23:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:23:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:24:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:24:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:24:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:24:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:24:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:24:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:25:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:25:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:25:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:25:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:25:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:25:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:26:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:26:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:26:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:26:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:26:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:26:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:27:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:27:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:27:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:27:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:27:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:27:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:28:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:28:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:28:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:28:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:28:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:28:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:29:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:29:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:29:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:29:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:29:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:29:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:30:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:30:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:30:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:30:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:30:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:30:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:31:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:31:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:31:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:31:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:31:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:31:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:32:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:32:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:32:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:32:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:32:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:32:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:33:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:33:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:33:25+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:33:35+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:33:45+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:33:55+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:34:05+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:34:15+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:34:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:34:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:34:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:34:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:35:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:35:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:35:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:35:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:35:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:35:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:36:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:36:16+0300 [-] Received SIGINT, shutting down.
